activity,integration_id,count
"Canoeing, Kayaking, Disability Sports",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Canoeing, Kayaking, Stand-up Paddleboard",gloucestershire-spreadsheet,1
"Canoeing, Sailing & Windsurfing, Swimming",gloucestershire-spreadsheet,1
Capeoira,ourparks,39
Capoeira,getactive-london,31
Capoeira,girls-move-london-spreadsheet,1
Cardio and Strength,getactive-essex-spreadsheet,3
Cardio and Strength,getactive-london,1
Cardio Tennis,ourparks,129
Cardio Tennis Fitness,getactive-london,3
"Cardio Tennis Fitness, Tennis",getactive-hampshire-and-isle-of-wight-spreadsheet,2
"Cardio Tennis Fitness, Tennis, Mini Tennis",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Carpet Bowls,getactive-essex-spreadsheet,70
Castells,opensessions,1
Caving,getactive-essex-spreadsheet,2
Ceroc,getactive-london,1
Chair Based Exercise,getactive-london,29
Chasamba,getactive-london,1
cheerleading,getactive-london,3
cheerleading,opensessions,1
Cheerleading,getactive-essex-spreadsheet,1
Cheerleading,getactive-hampshire-and-isle-of-wight-spreadsheet,6
Cheerleading,getactive-london,46
"Cheerleading, Cheerleading",getactive-essex-spreadsheet,8
Chess,getactive-london,6
Chi Ball,getactive-london,4
Chi Kung Exercise,getactive-london,12
"Chi Kung Exercise, Relaxation",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Chi Kung Exercise, Tai Chi, Meditation",getactive-essex-spreadsheet,1
Chinese Martial Arts,getactive-essex-spreadsheet,1
Chinese Martial Arts,getactive-london,5
Choi Kwang Do,getactive-hampshire-and-isle-of-wight-spreadsheet,1
circuits,getactive-london,4
Circuits,gladstone-newham,9
Circuit Training,getactive-hampshire-and-isle-of-wight-spreadsheet,2
Circuit Training,getactive-london,140
Circuit Training,opensessions,2
"Circuit Training, Gym, Boxing",getactive-essex-spreadsheet,1
Circuit Training - Outdoors,getactive-london,13
Circus Skills,getactive-london,4
climbing,opensessions,2
Climbing,getactive-essex-spreadsheet,1
Climbing,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Climbing,getactive-london,26
Climbing,girls-move-london-spreadsheet,1
Climbing (Indoor),getactive-hampshire-and-isle-of-wight-spreadsheet,3
Climbing (Indoor),getactive-london,11
"Climbing, Mountaineering",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Clubbercise,getactive-essex-spreadsheet,1
Clubbercise,getactive-london,1
Coach Training,ourparks,9
Community Centre,getactive-london,14
Community gym,getactive-london,7
Conservation Work/Gardening,opensessions,3
Contemporary Caribbean Dance,getactive-london,1
Contemporary Dance,getactive-london,20
Co-ordination,getactive-london,9
"Co-ordination, Pre-School Gymtots & Movement",getactive-essex-spreadsheet,1
Core Strength,getactive-london,57
Creative Dance,getactive-london,21
cricket,getactive-london,2
Cricket,getactive-essex-spreadsheet,109
Cricket,getactive-hampshire-and-isle-of-wight-spreadsheet,81
Cricket,getactive-london,344
Cricket,gloucestershire-spreadsheet,41
Cricket,opensessions,9
"Cricket, Cricket (disability)",getactive-hampshire-and-isle-of-wight-spreadsheet,2
