Code,Term (en-GB),Parent term,Alternate name,Type,Source,Tag,Tag,Tag,Setting,Setting,"<- note the terms here are all British (""en-GB"") terms, so we don't need to take into account internationalisation at this stage"
,Body attack,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,Aerobics,,,
,Core strength class,Exercise class,,Discipline,Active Lives Survey,Fitness,Core,,,,
,"Legs, bums and tums",Exercise class,,Discipline,Active Lives Survey,Fitness,Core,,,,
,Body Balance,Exercise class,,Discipline,Active Lives Survey,Fitness,Core,,,,
,Cycle class,Exercise class,,Discipline,Active Lives Survey,Fitness,Cycling,,,,
,Spinning,Exercise class,,Discipline,Active Lives Survey,Fitness,Cycling,,,,
,Spin class,Exercise class,,Discipline,Active Lives Survey,Fitness,Cycling,,,,
,RPM,Exercise class,,Discipline,Active Lives Survey,Fitness,Cycling,,,,
,Dance-based class,Exercise class,,Discipline,Active Lives Survey,Fitness,Dance,,,,
,High intensity,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,,,,
,HIT,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,,,,
,Insanity,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,,,,
,Water-based class,Exercise class,,Discipline,Active Lives Survey,Fitness,,,,,
,Aqua aerobics,Exercise class,,Discipline,Active Lives Survey,Fitness,Aerobics,,,,
,Aquafit,Exercise class,,Discipline,Active Lives Survey,Fitness,Aerobics,,,,
,Weights-based class,Exercise class,,Discipline,Active Lives Survey,Fitness,Strength,,,,
,Body pump,Exercise class,,Discipline,Active Lives Survey,Fitness,Strength,,,,
,Kettlebell,Exercise class,,Discipline,Active Lives Survey,Fitness,Strength,,,,
EXERCISE MACHINE,Exercise machine,,,Activity,Active Lives Survey,Fitness,,,,,
,Cross training machine,Exercise machine,,Discipline,Active Lives Survey,,,,,,
,Exercise bike,Exercise machine,,Discipline,Active Lives Survey,Fitness,,,,,
,Resistance weights machines,Exercise machine,,Discipline,Active Lives Survey,Fitness,,,,,
,Rowing machine,Exercise machine,,Discipline,Active Lives Survey,Fitness,,,,,
,Step machine,Exercise machine,,Discipline,Active Lives Survey,Fitness,,,,,
,Treadmill,Exercise machine,,Discipline,Active Lives Survey,Fitness,,,,,
FENCING,Fencing,,,Activity,Recognised Sports List,,,,,,
FISHING,Fishing,,,Activity,,Leisure,Games,,,,
FIVES,Fives,,,Activity,Recognised Sports List,Racquet,,,,,
FLOORBALL,Floorball,,,Activity,Recognised Sports List,,,,,,
FOLK DANCING,Folk Dancing,,,Activity,Recognised Sports List,Dance,,,,,
FOOTBALL,Football,,,Activity,Recognised Sports List,Team,,,,,
,Football,,Soccer,Alternate Name,,Team,,,,,
,11 a-side football,Football,,Discipline,Active Lives Survey,Team,,,,,
,Small sided football,Football,,Discipline,Active Lives Survey,Team,,,,,
,Walking football,Football,,Discipline,Active Lives Survey,Team,,,,,
FREE RUNNING,Free running,,,Activity,,Adventure,,,Outdoor,,
FREE WEIGHT TRAINING,Free weight training,,,Activity,Active Lives Survey,Fitness,,,,,
,Free weight training,,Free weights,Alternate Name,,,,,,,
,Kettlebell training,Free weight training,,Discipline,Active Lives Survey,Fitness,,,,,
,Dumbbell training,Free weight training,,Discipline,Active Lives Survey,Fitness,,,,,
FUTSAL,Futsal,,,Activity,Recognised Sports List,Team,,,Indoor,,
GAELIC FOOTBALL,Gaelic Football,,,Activity,Recognised Sports List,Team,Gaelic,,,,
GARDENING,Gardening,,,Activity,Active Lives Survey,,,,,,
GLIDING,Gliding,,,Activity,Recognised Sports List,Adventure,Air Sports,,Outdoor,,
,Para gliding,Gliding,,Discipline,,Adventure,Air Sports,,Outdoor,,
,Hang gliding,Gliding,,Discipline,,Adventure,Air Sports,,Outdoor,,
GOALBALL,Goalball,,,Activity,Recognised Sports List,Team,Disabled,,,,
GOLF,Golf,,,Activity,Recognised Sports List,,,,,,
,Full course golf,Golf,,Discipline,,,,,,,
,Short course golf,Golf,,Discipline,,,,,,,
,Par 3,Golf,,Discipline,,,,,,,
,Pitch and Putt,Golf,,Discipline,,,,,,,
,Putting,Golf,,Discipline,,,,,,,
,Driving range,Golf,,Discipline,,,,,,,
,Crazy Golf,Golf,,Discipline,,,,,,,
,Adventure golf,Golf,,Discipline,,,,,,,
GONGFU,GongFu,,,Activity,Recognised Sports List,Martial Arts,Combat,Chinese Martial Arts,,,
GYM SESSION,Gym session,,,Activity,Active Lives Survey,Fitness,,,,,
GYMNASTICS,Gymnastics,,,Activity,Recognised Sports List,,,,,,
HANDBALL,Handball,,,Activity,Recognised Sports List,Team,Gaelic,,,,
HIGHLAND GAMES,Highland Games,,,Activity,Recognised Sports List,,,,,,
,Caber toss,Highland Games,,Discipline,,,,,,,
,Sheaf toss,Highland Games,,Discipline,,,,,,,
,Stone put,Highland Games,,Discipline,,,,,,,
,Scottish Hammer throw,Highland Games,,Discipline,,,,,,,
,Weight throw,Highland Games,,Discipline,,,,,,,
,Weight over the bar,Highland Games,,Discipline,,,,,,,
HOCKEY,Hockey,,,Activity,Recognised Sports List,,,,,,
,Field hockey,Hockey,,Discipline,,Team,,,,,
HORSE RACING,Horse Racing,,,Activity,Recognised Sports List,,,,,,
HOVERING,Hovering,,,Activity,Recognised Sports List,Water,,,,,
,Hovering,,Hover Boarding,Alternate Name,,Water,,,,,
HURLING,Hurling,,,Activity,Recognised Sports List,Team,Gaelic,,,,
ICE HOCKEY,Ice hockey,,,Activity,Recognised Sports List,Winter,Team,,,,
ICE SKATING,Ice Skating,,,Activity,Recognised Sports List,Winter,Skating sports,,,,
,Artistic skating,Ice Skating,,Discipline,,Winter,Skating sports,,,,
,Speed skating,Ice Skating,,Discipline,,,,,,,
JET SKIING,Jet Skiing,,,Activity,Recognised Sports List,Water,,,,,
JUDO,Judo,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,
JU-JITSU,Ju-Jitsu,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,
KABADDI,Kabaddi,,,Activity,Recognised Sports List,,Combat,,,,
KARATE,Karate,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,
KARTING,Karting,,,Activity,,Motor sports,,,,,
,Karting,,Go Karting,Alternate Name,,Motor sports,,,,,
KAYAKING,Kayaking,,,Activity,,Adventure,,,Outdoor,,
